0.01,Left,20,40,134845,7,0.2,556,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134900,7,0.2,537,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134915,7,0.1,532,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134930,8,0.1,530,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134945,8,0.1,526,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135000,8,0.1,517,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135015,7,0.1,511,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135030,6,0.2,511,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135045,4,0.2,424,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135100,6,0.1,447,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135130,6,0.1,446,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135145,5,0.1,457,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135200,6,0.1,462,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135215,7,0.1,463,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135230,7,0.1,460,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135245,6,0.1,454,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135300,6,0.1,459,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,135315,7,0.1,462,+,IU7GTP,N6LZ,R-15
1,Up,50,40,140745,-11,0.2,760,+,IU7GTP,N6LZ,R-15
1,Up,50,40,141030,-15,-0.2,1299,+
1,Up,50,40,141115,-11,0.2,661,+,IU7GTP,N6LZ,R-15
1,Up,50,40,141445,-10,0.1,605,+,IU7GTP,N6LZ,R-15
1,Up,50,40,141515,-12,0.1,593,+,IU7GTP,N6LZ,R-15
1,Up,50,40,141545,-11,0.1,562,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141700,-5,0.2,697,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141715,-4,0.2,546,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141730,-2,0.2,598,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141745,-2,0.2,607,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141815,-2,0.2,623,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141830,-3,0.2,612,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141845,-3,0.2,623,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141900,-3,0.2,619,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141915,-4,0.2,622,+,IU7GTP,N6LZ,R-15
1,Right,50,40,141930,-3,0.2,620,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142000,-3,0.1,623,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142030,-3,0.1,626,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142115,-2,0.1,631,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142130,-4,0.2,620,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142145,-2,0.1,629,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142200,-3,0.1,627,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142215,-3,0.1,641,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142230,-3,0.1,633,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142245,-3,0.1,633,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142300,-3,0.1,629,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142315,-3,0.1,626,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142330,-4,0.1,620,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142345,-3,0.1,619,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142400,-3,0.1,616,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142415,-2,0.1,616,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142430,-3,0.1,613,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142445,-2,0.1,620,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142500,-4,0.1,614,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142545,-2,0.1,601,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142600,-3,0.1,594,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142615,-2,0.1,587,+,IU7GTP,N6LZ,R-15
1,Right,50,40,142630,-2,0.1,582,+,IU7GTP,N6LZ,R-15
1,Down,50,40,142815,-3,0.2,620,+,IU7GTP,N6LZ,R-15
1,Down,50,40,142845,-2,0.2,578,+,IU7GTP,N6LZ,R-15
1,Down,50,40,142900,-2,0.2,568,+,IU7GTP,N6LZ,R-15
1,Down,50,40,142915,-2,0.1,568,+,IU7GTP,N6LZ,R-15
1,Down,50,40,142930,-3,0.2,559,+,IU7GTP,N6LZ,R-15
1,Down,50,40,142945,-2,0.2,556,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143045,-2,0.1,535,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143100,-2,0.1,535,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143115,-2,0.2,541,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143130,-3,0.1,539,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143200,-3,0.1,527,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143215,-2,0.1,529,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143230,-2,0.1,535,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143245,-3,0.1,538,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143300,-2,0.1,535,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143330,-2,0.1,523,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143345,-2,0.1,528,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143400,-1,0.1,516,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143415,-2,0.1,517,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143430,-2,0.1,507,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143500,-2,0.1,502,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143530,-2,0.1,497,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143545,-2,0.1,495,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143615,-2,0.1,493,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143630,-1,0.1,498,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143645,-2,0.1,498,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143700,-1,0.1,507,+,IU7GTP,N6LZ,R-15
1,Down,50,40,143715,-1,0.1,501,+,IU7GTP,N6LZ,R-15
1,Left,50,40,144045,-8,0.1,550,+,IU7GTP,N6LZ,R-15
1,Left,50,40,144245,-8,0.1,530,+,IU7GTP,N6LZ,R-15
1,Left,50,40,144445,-10,0.1,480,+,IU7GTP,N6LZ,R-15
1,Left,50,40,144545,-8,0.1,466,+,IU7GTP,N6LZ,R-15
1,Left,50,40,144800,-9,0.2,442,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123130,-11,0.7,1509,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123315,-11,0.7,1435,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123345,-13,0.7,1400,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123530,-11,0.8,1349,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123600,-12,0.8,1347,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123630,-12,0.8,1310,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123700,-11,0.8,1349,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123815,-11,0.8,1345,+,IU7GTP,N6LZ,R-15
4,Up,50,40,123915,-13,0.8,1352,+,IU7GTP,N6LZ,R-15
4,Right,50,40,121800,-20,0.1,432,+,TUGO9LQ,614WRV579,1670
4,Right,50,40,121800,-10,0.8,1150,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122100,-10,0.8,1178,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122145,-10,0.8,1195,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122230,-11,0.7,1210,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122300,-10,0.7,1196,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122345,-12,0.7,1178,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122400,-11,0.7,1069,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122415,-10,0.7,1129,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122500,-11,0.8,1169,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122530,-10,0.8,1172,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122545,-11,0.8,1155,+,IU7GTP,N6LZ,R-15
4,Right,50,40,122630,-11,0.8,1158,+,IU7GTP,N6LZ,R-15
4,Down,50,40,124345,-11,0.7,1531,+,IU7GTP,N6LZ,R-15
4,Down,50,40,124615,-10,0.8,1397,+,IU7GTP,N6LZ,R-15
4,Down,50,40,124630,-11,0.8,1391,+,IU7GTP,N6LZ,R-15
4,Down,50,40,124715,-11,0.8,1375,+,IU7GTP,N6LZ,R-15
4,Down,50,40,125000,-10,0.8,1218,+,IU7GTP,N6LZ,R-15
4,Down,50,40,125030,-10,0.8,1242,+,IU7GTP,N6LZ,R-15
4,Down,50,40,125045,-10,0.7,1249,+,IU7GTP,N6LZ,R-15
4,Down,50,40,125115,-10,0.8,1252,+,IU7GTP,N6LZ,R-15
4,Left,50,40,125745,-11,0.8,1383,+,IU7GTP,N6LZ,R-15
4,Left,50,40,130000,-12,0.8,1368,+,IU7GTP,N6LZ,R-15
4,Left,50,40,130045,-13,0.8,1343,+,IU7GTP,N6LZ,R-15
4,Left,50,40,130115,-12,0.8,1330,+,IU7GTP,N6LZ,R-15
4,Left,50,40,130215,-13,0.7,1329,+,IU7GTP,N6LZ,R-15
4,Left,50,40,130345,-13,0.7,1338,+,IU7GTP,N6LZ,R-15
4,Left,50,40,130430,-13,0.7,1327,+,IU7GTP,N6LZ,R-15
5,Right,60,40,133400,-11,1.0,1259,+,IU7GTP,N6LZ,R-15
5,Right,60,40,133445,-11,1.0,1299,+,IU7GTP,N6LZ,R-15
5,Down,60,40,135400,-12,1.0,1199,+,IU7GTP,N6LZ,R-15
5,Left,60,40,141115,-12,1.0,1187,+,IU7GTP,N6LZ,R-15
5,Left,60,40,141230,-12,1.0,1214,+,IU7GTP,N6LZ,R-15
